강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 전국
기간 : 20200101~20240731

날짜,지점,강수량(mm)
2021-01-24,전국,0.1
2021-01-25,전국,0
2021-01-26,전국,5.9
2021-01-27,전국,0
2021-01-28,전국,1.2
2021-01-29,전국,0.1
2021-01-30,전국,0.1
2021-01-31,전국,0.5
2021-02-01,전국,9.3
2021-02-02,전국,0
2021-02-03,전국,0.7
2021-02-04,전국,0.8
2021-02-05,전국,0
2021-02-06,전국,0
2021-02-07,전국,0
2021-02-08,전국,0
2021-02-09,전국,0
2021-02-10,전국,0
2021-02-11,전국,0
2021-02-12,전국,0
2021-02-13,전국,0
2021-02-14,전국,2.4
2021-02-15,전국,0.6
2021-02-16,전국,1.1
2021-02-17,전국,0.5
2021-02-18,전국,0.1
2021-02-19,전국,0
2021-02-20,전국,0
2021-02-21,전국,0
2021-02-22,전국,0
2021-02-23,전국,0
2021-02-24,전국,0
2021-02-25,전국,3.1
2021-02-26,전국,0.9
2021-02-27,전국,0.2
2021-02-28,전국,0.3
2021-03-01,전국,49.9
2021-03-02,전국,2.7
2021-03-03,전국,0
2021-03-04,전국,3.9
2021-03-05,전국,0.1
2021-03-06,전국,0.3
2021-03-07,전국,0
2021-03-08,전국,0
2021-03-09,전국,0
2021-03-10,전국,0
2021-03-11,전국,0.6
2021-03-12,전국,13.2
2021-03-13,전국,0
2021-03-14,전국,0
2021-03-15,전국,0.2
2021-03-16,전국,1.8
2021-03-17,전국,0
2021-03-18,전국,0
2021-03-19,전국,0
2021-03-20,전국,6
2021-03-21,전국,0
2021-03-22,전국,0
2021-03-23,전국,0
2021-03-24,전국,0
2021-03-25,전국,0
2021-03-26,전국,0
2021-03-27,전국,26.6
2021-03-28,전국,5
2021-03-29,전국,0.1
2021-03-30,전국,0
2021-03-31,전국,0
2021-04-01,전국,0
2021-04-02,전국,0
2021-04-03,전국,32.3
2021-04-04,전국,9.4
2021-04-05,전국,0
2021-04-06,전국,0
2021-04-07,전국,0
2021-04-08,전국,0
2021-04-09,전국,0.6
2021-04-10,전국,0
2021-04-11,전국,0
2021-04-12,전국,20.8
2021-04-13,전국,3.1
2021-04-14,전국,0
2021-04-15,전국,0
2021-04-16,전국,0.2
2021-04-17,전국,0.1
2021-04-18,전국,0
2021-04-19,전국,0
2021-04-20,전국,0
2021-04-21,전국,0
2021-04-22,전국,0
2021-04-23,전국,0
2021-04-24,전국,0
2021-04-25,전국,0
2021-04-26,전국,0
2021-04-27,전국,0.3
2021-04-28,전국,0.3
2021-04-29,전국,1.6
2021-04-30,전국,7.5
2021-05-01,전국,9.1
2021-05-02,전국,1.7
2021-05-03,전국,0
2021-05-04,전국,17.5
2021-05-05,전국,1.3
2021-05-06,전국,0
2021-05-07,전국,1.9
2021-05-08,전국,0
2021-05-09,전국,0
2021-05-10,전국,5.2
2021-05-11,전국,2.7
2021-05-12,전국,0
2021-05-13,전국,0
2021-05-14,전국,0
2021-05-15,전국,9.2
