날짜,한화
2022-07-28,128965.929
2022-07-27,124698.728
2022-07-26,127078.53600000001
2022-07-25,125451.16500000001
2022-07-22,127158.6807
2022-07-21,130392.54099999998
2022-07-20,135348.22
2022-07-19,133738.32
2022-07-18,125944.2233
2022-07-15,125111.32830000001
2022-07-14,126037.3698
2022-07-13,125528.64009999999
2022-07-12,134090.3676
2022-07-11,136113.8268
2022-07-08,131664.471
2022-07-07,127878.51120000001
2022-07-06,129708.2748
2022-07-05,139985.344
2022-07-04,139462.4993
2022-07-03,141286.21380000003
2022-07-01,137568.11690000002
2022-06-30,141741.176
2022-06-29,144584.64299999998
2022-06-28,142297.47
2022-06-27,138160.4754
2022-06-24,132938.7362
2022-06-23,134693.44640000002
2022-06-22,141512.5352
2022-06-21,141479.3694
2022-06-20,137779.4886
2022-06-19,136999.2634
2022-06-17,146917.838
2022-06-16,145531.704
2022-06-15,149058.97019999998
2022-06-14,150289.64260000002
2022-06-13,149904.5737
2022-06-10,150911.6208
2022-06-09,151274.508
2022-06-08,149869.269
2022-06-07,150100.539
2022-06-06,153024.571
2022-06-03,148247.007
2022-06-02,144518.27599999998
2022-06-01,146605.314
2022-05-31,145308.2904
2022-05-30,147480.08
2022-05-29,146062.03999999998
2022-05-27,146249.08800000002
2022-05-26,141523.8064
2022-05-25,142499.13929999998
2022-05-24,141229.8474
2022-05-23,141144.2128
2022-05-20,142099.8645
2022-05-19,138589.02690000003
2022-05-18,144298.18959999998
2022-05-17,142511.7211
2022-05-16,139940.231
2022-05-13,135193.806
2022-05-12,133584.97950000002
2022-05-11,125965.62000000001
2022-05-10,129995.96000000002
2022-05-09,139250.0214
2022-05-06,135898.91400000002
2022-05-05,133872.552
2022-05-04,128582.18999999999
2022-05-03,129666.6184
2022-05-02,128940.23999999999
2022-04-29,129932.2765
2022-04-28,125501.35879999999
2022-04-27,125191.25760000001
2022-04-26,120672.23039999999
2022-04-25,124509.84700000001
2022-04-22,128516.043
2022-04-21,125967.375
2022-04-20,126005.41799999999
2022-04-19,131196.4
2022-04-18,130450.30459999999
2022-04-14,126549.85800000001
2022-04-13,123090.018
2022-04-12,115643.92210000001
2022-04-11,119114.18400000001
2022-04-08,117399.82230000001
2022-04-07,118906.35119999999
2022-04-06,123958.25600000001
2022-04-05,126568.86
2022-04-04,120622.029
2022-04-01,123013.68370000001
2022-03-31,130962.209
2022-03-30,127503.52199999998
2022-03-29,125258.71259999998
2022-03-28,138321.35400000002
2022-03-25,138755.505
2022-03-24,142172.8847
2022-03-23,134658.335
2022-03-22,138728.133
2022-03-21,128599.2212
