날짜,시가
2016-11-01,45.71909090909091
2016-12-01,52.035
2017-01-01,52.79130434782609
2017-02-01,53.42809523809524
2017-03-01,49.89869565217391
2017-04-01,51.23368421052632
2017-05-01,49.00833333333333
2017-06-01,45.35181818181818
2017-07-01,46.60952380952381
2017-08-01,48.181739130434785
2017-09-01,49.474545454545456
2017-10-01,51.500454545454545
2017-11-01,56.596363636363634
2017-12-01,57.832857142857144
2018-01-01,63.430416666666666
2018-02-01,62.18142857142857
2018-03-01,62.66904761904762
2018-04-01,66.19857142857143
2018-05-01,69.86541666666666
2018-06-01,66.92190476190476
2018-07-01,70.9140909090909
2018-08-01,67.74260869565217
2018-09-01,69.93476190476191
2018-10-01,71.0895652173913
2018-11-01,57.194545454545455
2018-12-01,49.06095238095238
2019-01-01,51.17458333333334
2019-02-01,55.01190476190476
2019-03-01,58.02809523809523
2019-04-01,63.72857142857143
2019-05-01,61.09583333333333
2019-06-01,54.529999999999994
2019-07-01,57.68391304347826
2019-08-01,55.01863636363637
2019-09-01,57.17727272727273
2019-10-01,54.01478260869565
2019-11-01,57.078571428571436
2019-12-01,59.60454545454545
2020-01-01,58.318333333333335
2020-02-01,51.010000000000005
2020-03-01,32.012173913043476
2020-04-01,18.266190476190474
2020-05-01,28.230909090909094
2020-06-01,37.972272727272724
2020-07-01,40.67391304347826
2020-08-01,42.26571428571429
2020-09-01,39.65608695652174
2020-10-01,39.63772727272727
2020-11-01,41.09428571428572
2020-12-01,46.88818181818181
2021-01-01,51.89809523809523
2021-02-01,58.78809523809524
2021-03-01,62.40652173913043
2021-04-01,61.483809523809526
2021-05-01,65.22772727272728
2021-06-01,71.03227272727273
2021-07-01,72.63608695652174
2021-08-01,67.91681818181819
2021-09-01,71.00608695652174
2021-10-01,80.8652380952381
2021-11-01,79.37272727272727
2021-12-01,71.41181818181818
2022-01-01,82.48863636363636
2022-02-01,91.36380952380952
2022-03-01,108.41869565217392
2022-04-01,101.5775
2022-05-01,109.32000000000001
2022-06-01,114.35608695652174
2022-07-01,100.51545454545455
2022-08-01,91.72434782608696
2022-09-01,84.54347826086956
2022-10-01,86.84571428571428
2022-11-01,84.20181818181818
2022-12-01,76.91545454545455
2023-01-01,78.64434782608696
2023-02-01,76.92142857142856
2023-03-01,73.39695652173914
2023-04-01,79.62315789473683
2023-05-01,72.17916666666666
2023-06-01,70.42434782608696
2023-07-01,75.2352380952381
2023-08-01,81.26782608695653
2023-09-01,88.90590909090909
2023-10-01,86.15590909090909
2023-11-01,77.63454545454546
2023-12-01,72.45142857142858
2024-01-01,73.62173913043478
2024-02-01,76.52285714285715
2024-03-01,80.1935
2024-04-01,84.50818181818182
2024-05-01,78.83304347826088
2024-06-01,78.4975
2024-07-01,80.8108695652174
2024-08-01,75.73954545454545
2024-09-01,70.244
