태풍명,영문명,영향도,활동년도,활동시기
돌핀,DOLPHIN,0,2015,5
구지라,KUJIRA,0,2015,6
찬홈,CHAN-HOM,2,2015,6
린파,LINFA,0,2015,7
사우델로르,SOUDELOR,0,2015,7
낭카,NANGKA,2,2015,7
할롤라,HALOLA,2,2015,7
몰라베,MOLAVE,0,2015,8
앗사니,ATSANI,0,2015,8
고니,GONI,2,2015,8
킬로,KILO,0,2015,9
아타우,ETAU,0,2015,9
밤꼬,VAMCO,0,2015,9
크로반,KROVANH,0,2015,9
두쥐안,DUJUAN,0,2015,9
무지개,MUJIGAE,0,2015,10
초이완,CHOI-WAN,0,2015,10
곳푸,KOPPU,0,2015,10
참피,CHAMPI,0,2015,10
인파,IN-FA,0,2015,11
멜로르,MELOR,0,2015,12
네파탁,NEPARTAK,0,2016,7
루핏,LUPIT,0,2016,7
미리내,MIRINAE,0,2016,7
니다,NIDA,0,2016,7
오마이스,OMAIS,0,2016,8
꼰선,CONSON,0,2016,8
찬투,CHANTHU,0,2016,8
뎬무,DIANMU,0,2016,8
민들레,MINDULLE,0,2016,8
라이언록,LIONROCK,0,2016,8
곤파스,KOMPASU,0,2016,8
말라카스,MALAKAS,2,2016,9
차바,CHABA,1,2016,9
남테운,NAMTHEUN,0,2016,9
말로,MALOU,0,2016,9
므란티,MERANTI,0,2016,9
라이,RAI,0,2016,9
메기,MEGI,0,2016,9
에어리,AERE,0,2016,10
송다,SONGDA,0,2016,10
사리카,SARIKA,0,2016,10
하이마,HAIMA,0,2016,10
메아리,MEARI,0,2016,11
망온,MA-ON,0,2016,11
도카게,TOKAGE,0,2016,11
녹텐,NOCK-TEN,0,2016,12
무이파,MUIFA,0,2017,4
므르복,MERBOK,0,2017,6
탈라스,TALAS,0,2017,7
꿀랍,KULAP,0,2017,7
로키,ROKE,0,2017,7
선까,SONCA,0,2017,7
네삿,NESAT,0,2017,7
하이탕,HAITANG,0,2017,7
난마돌,NANMADOL,2,2017,7
노루,NORU,2,2017,7
날개,NALGAE,0,2017,8
바냔,BANYAN,0,2017,8
하토,HATO,0,2017,8
파카르,PAKHAR,0,2017,8
상우,SANVU,0,2017,8
탈림,TALIM,2,2017,9
마와르,MAWAR,0,2017,9
구촐,GUCHOL,0,2017,9
독수리,DOKSURI,0,2017,9
카눈,KHANUN,0,2017,10
란,LAN,0,2017,10
